REPORT_COUNTER,STRAND_NO,PROD_COUNTER,PROD_NO,ORD_COUNTER,L1_TRK_ID,L2_TRK_ID,LABEL,TYPE,WIDTH,WIDTH_HEAD,WIDTH_TAIL,THICKNESS,TAPER_START,TAPER_END,LENGTH,WEIGHT,START_CAST_POS,STOP_CAST_POS,SAMPLE_WGT,DEFECT_LEVEL,MANUAL_REPORT_FLG,SAMPLE_LEN,MANUAL_CUT_FLG,CUT_DATE,WEIGHT_REAL,MIXED_FLG,TRANSITION_FLG,SLAB_ID
11061,1,2,2,2,0,11061102,0,1,0.0,1260.0,1260.0,85.8727775292,0.0,0.0,27998.4192847263,23629.4803548311,484101.0,512441.0,0.0,20,0,0.0,0,2021-03-03 17:12:53.000,0.0,0,0,121A0018052
101160,1,5,5,5,0,101160105,0,1,0.0,1194.0,1194.0,75.0374695077,0.0,0.0,30997.8265164987,21662.4888766544,4417968.0,4449344.0,0.0,20,0,0.0,0,2025-03-19 01:59:27.000,0.0,0,0,225B0021115
66042,1,5,5,5,0,66042105,0,1,0.0,1208.0,1208.0,81.0341042649,0.0,0.0,29999.012052954,22905.31798788,4644053.0,4674418.0,0.0,20,0,0.0,0,2023-11-06 11:41:46.000,0.0,0,0,223B0039585
65230,1,4,4,4,0,65230104,0,1,0.0,1208.0,1208.0,81.0205670266,0.0,0.0,31997.6289270895,24427.2520075686,4515498.0,4547886.0,0.0,10,0,0.0,0,2023-10-25 14:42:17.000,0.0,0,0,223C0058894
10497,1,5,5,5,0,10497105,0,1,0.0,1210.0,1210.0,71.0747068142,0.0,0.0,31997.6289270895,21464.1081301707,4147099.0,4179487.0,0.0,20,0,0.0,0,2021-02-22 05:42:39.000,0.0,0,0,121D0014965
102672,1,1,1,1,0,102672101,0,1,0.0,1257.0,1257.0,75.1039798588,0.0,0.0,31000.7903576368,22827.8808999249,830388.0,861767.0,0.0,10,0,0.0,0,2025-04-10 18:01:18.000,0.0,0,0,225D0027201
28017,1,2,2,2,0,28017102,0,1,0.0,1250.0,1250.0,75.0186409881,0.0,0.0,28999.2096423632,21210.9426467296,1699010.0,1728363.0,0.0,10,0,0.0,0,2021-12-13 00:46:34.000,0.0,0,0,121D0102742
85044,1,2,2,2,0,85044102,0,1,0.0,1256.0,1256.0,81.0315867607,0.0,0.0,28499.3084370678,22624.1831041339,3628239.0,3657086.0,0.0,20,0,0.0,0,2024-07-27 00:04:40.000,0.0,0,0,224B0052122
103411,1,1,1,1,0,103411101,0,1,0.0,1219.0,1219.0,75.0521675114,0.0,0.0,33500.2963841138,23906.1806439002,1233004.0,1266913.0,0.0,10,0,0.0,0,2025-01-28 16:43:10.000,0.0,0,0,125A0007661
43682,1,4,4,4,0,43682104,0,1,0.0,1419.0,1419.0,75.0009430842,0.0,0.0,28999.2096423632,24072.9816131173,689339.0,718692.0,0.0,20,0,0.0,0,2022-09-30 20:41:57.000,0.0,0,0,222C0065654
21889,1,1,-1,-1,0,21889101,0,4,0.0,1260.0,1260.0,98.7947046038,0.0,0.0,790.3576368307,767.4011909476,0.0,800.0,0.0,30,0,0.0,0,2021-09-01 06:31:27.000,0.0,0,0,121B007457-1
45689,1,4,4,4,0,45689104,0,1,0.0,1506.0,1506.0,90.8154825099,0.0,0.0,21998.6168741355,23467.9333121784,1271419.0,1293686.0,0.0,20,0,0.0,0,2022-08-31 19:28:17.000,0.0,0,0,122B0060154
55358,1,1,1,1,0,55358101,0,1,0.0,1221.0,1221.0,75.0310476108,0.0,0.0,32999.4072317724,23580.7392300339,2039415.0,2072817.0,0.0,10,0,0.0,0,2023-06-04 19:14:08.000,0.0,0,0,223C0024321
72238,1,6,6,6,0,72238106,0,1,0.0,1213.0,1213.0,81.0395161452,0.0,0.0,24999.012052954,19167.9244457002,3732110.0,3757414.0,0.0,10,0,0.0,0,2024-01-28 06:13:18.000,0.0,0,0,224D0007186
89600,1,4,4,4,0,89600104,0,1,0.0,1216.0,1216.0,85.963422756,0.0,0.0,26500.6915629322,21607.2294751311,4431903.0,4458727.0,0.0,20,0,0.0,0,2024-10-04 10:17:46.000,0.0,0,0,224C0069684
103435,1,3,3,3,0,103435103,0,1,0.0,1219.0,1219.0,75.0739959313,0.0,0.0,33499.3084370678,23912.4283813498,3402588.0,3436496.0,0.0,10,0,0.0,0,2025-01-29 00:04:06.000,0.0,0,0,125C0007973
101922,1,6,6,6,0,101922106,0,1,0.0,1204.0,1204.0,75.1092108406,0.0,0.0,32000.5927682276,22572.1179854191,692628.0,725019.0,0.0,10,0,0.0,0,2025-03-30 13:05:52.000,0.0,0,0,225C0023836
48920,1,2,2,2,0,48920102,0,1,0.0,1240.0,1240.0,71.0672749005,0.0,0.0,32999.4072317724,22682.5610868861,1683892.0,1717294.0,0.0,10,0,0.0,0,2023-02-23 04:50:17.000,0.0,0,0,223E0008132
103891,1,3,3,3,0,103891103,0,1,0.0,1503.0,1503.0,75.0154149648,0.0,0.0,26999.6048211816,23744.4167921797,4017336.0,4044665.0,0.0,10,0,0.0,0,2025-02-04 03:06:40.000,0.0,0,0,125B0009803
113916,1,1,1,1,0,113916101,0,1,0.0,1261.0,1261.0,69.1021141198,0.0,0.0,33999.2096423632,23108.3983320496,1471360.0,1505774.0,0.0,10,0,0.0,0,2025-11-01 02:30:07.000,0.0,0,0,225D0070431
