REPORT_COUNTER,STRAND_NO,PROD_COUNTER,PROD_NO,ORD_COUNTER,L1_TRK_ID,L2_TRK_ID,LABEL,TYPE,WIDTH,WIDTH_HEAD,WIDTH_TAIL,THICKNESS,TAPER_START,TAPER_END,LENGTH,WEIGHT,START_CAST_POS,STOP_CAST_POS,SAMPLE_WGT,DEFECT_LEVEL,MANUAL_REPORT_FLG,SAMPLE_LEN,MANUAL_CUT_FLG,CUT_DATE,WEIGHT_REAL,MIXED_FLG,TRANSITION_FLG,SLAB_ID,speed,temperature,TASK_COUNTER,AREA_ID,STATION_CODE,HEAT_ID,L3_HEAT_ID,HEAT_NOTES,PO_ID,CUSTOMER_ID,TASK_NOTE,TEAM_ID,FOREMAN_ID,SHIFT_CODE,SHIFT_RESPONSIBLE,STEEL_GROUP_CODE,STEEL_GROUP_DESCR,STEEL_GRADE_NAME,FINAL_STEEL_GRADE_NAME,ALTERATION_REASON_CODE,ROUTE_NAME,PRACTICE_NAME,LADLE_ID,LADLE_LIFE,LADLE_TARE_WGT,LADLE_CAR_NO,TANK_NO,START_DATE,STOP_DATE,DURATION,TAP_TO_TAP,PRODUCTION_DATE,SCHEDULED_START_DATE,START_WGT,FINAL_WGT,TAPPED_WGT,START_HOT_HEEL,END_HOT_HEEL,START_SLAG_WGT,FINAL_SLAG_WGT,FINAL_TEMP,AVGEL1CURRENT,AVGEL2CURRENT,AVGEL3CURRENT,AVGACTPOWER,PROFILE_MODE,EAF_ELECTRODE_CONS,LIQUIDUS_TEMP,EAF_SEQ_CODE,GHOST_CAST_FLG
3744,1,1,1,1,0,3744101,0,1,0.0,1245.0,1245.0,79.0109805876,0.0,0.0,30000.0,23018.2689745891,457770.0,488136.0,0.0,20,0,0.0,0,2020-11-24 15:12:48.000,0.0,0,0,220C0022901,3.6590475377,1546.6399332682,1958,1100,2,20C002290, , ,20C002290,Hoa Phat Dung Quat, , , , , ,1,Low Carbon,SAE1006,SAE1006,0,PR_85LC,PR_85LC,25,0,70000.0,0,0,2020-11-24 14:53:38.000,2020-11-24 15:51:12.000,3453,0,2020-11-24 00:00:00.000,1970-01-01 00:00:00.000,114120.376586914,50.6362915039,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1532,0,0
5919,1,4,4,4,0,5919104,0,1,0.0,1260.0,1260.0,78.9609923002,0.0,0.0,29999.012052954,23280.0922945924,214923.0,245288.0,0.0,10,0,0.0,0,2020-11-26 13:51:25.000,0.0,0,0,120B0085774,3.2000000477,1555.533592559,3172,1100,1,20B008577, , ,20B008577,Hoa Phat Dung Quat, , , , , ,1,Low Carbon,SAE1006,SAE1006,0,PR_85LC,PR_85LC,4,0,70000.0,0,0,2020-11-26 13:01:05.000,2020-11-26 14:10:28.000,4162,0,2020-11-26 00:00:00.000,1970-01-01 00:00:00.000,118518.524169922,86.8072509766,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
16374,1,4,4,4,0,16374104,0,1,0.0,1245.0,1245.0,71.0706215229,0.0,0.0,31998.6168741355,22084.3831919213,2560215.0,2592604.0,0.0,10,0,0.0,0,2021-06-25 19:38:51.000,0.0,0,0,221D0051294,4.9998503935,1560.4636230469,8406,1100,2,21D005129, , ,21D005129,Hoa Phat Dung Quat, ,Crew A,Pham Thanh Sang,1,Bui Van Khang,1,Low Carbon,SAE1006,SAE1006,0,PR_72LC,PR_72LC,42,0,70000.0,0,0,2021-06-25 19:01:21.000,2021-06-25 19:51:36.000,3015,0,2021-06-25 00:00:00.000,1970-01-01 00:00:00.000,125202.545166016,72.3342895508,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
36678,1,1,1,1,0,36678101,0,1,0.0,1253.0,1253.0,75.0058574937,0.0,0.0,29000.1975894092,21258.9500265627,2273968.0,2303322.0,0.0,10,0,0.0,0,2022-05-20 18:28:50.000,0.0,0,0,222C0036751,5.2000775795,1563.1970580365,18872,1100,2,22C003675, , ,22C003675,Hoa Phat Dung Quat, ,B,Truong Van Son,1,Vu Duy Ninh,1,Low Carbon,SAE1006,SAE1006,0,PR_76LC,PR_76LC,42,0,70000.0,0,0,2022-05-20 18:10:00.000,2022-05-20 18:57:03.000,2823,0,2022-05-20 00:00:00.000,1970-01-01 00:00:00.000,128016.494750977,113.9297485352,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
86843,1,4,4,4,0,86843104,0,1,0.0,1211.0,1211.0,80.9782669257,26686.4256075874,182.7702035171,26998.6168741355,20651.3639114145,2596911.0,2624239.0,0.0,20,0,0.0,0,2024-05-24 18:05:39.000,0.0,0,0,124C0035764,4.5999984509,1544.3785341005,44196,1100,1,24C003576, , ,24C003576,Hoa Phat Dung Quat, ,A,TRAN QUANG THINH,1,NGUYEN VAN DUY,1,Low Carbon,SAE1006,SAE1006,0,PR_82LC,PR_82LC,25,0,70000.0,0,0,2024-05-24 17:26:15.000,2024-05-24 18:14:42.000,2907,0,2024-05-24 00:00:00.000,1970-01-01 00:00:00.000,103240.737915039,113.9297485352,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
89386,1,1,1,1,0,89386101,0,1,0.0,1208.0,1208.0,75.0492128358,0.0,0.0,33998.2216953171,24041.6283858668,2515087.0,2549500.0,0.0,10,0,0.0,0,2024-09-30 22:05:56.000,0.0,0,0,224C0068741,4.6001321842,1540.4435811271,45462,1100,2,24C006874, , ,24C006874,Hoa Phat Dung Quat, ,B,NGUYEN HAI DUONG,2,LE TIEN DUNG,3,Medium Carbon,S275JR+AR,S275JR+AR,0,PR_76MC,PR_76MC,11,0,70000.0,0,0,2024-09-30 21:41:58.000,2024-09-30 22:41:19.000,3561,0,2024-09-30 00:00:00.000,1970-01-01 00:00:00.000,126707.03125,3.4027099609,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1518,0,0
71496,1,2,2,2,0,71496102,0,1,0.0,1206.0,1206.0,80.982714014,0.0,0.0,31997.6289270895,24375.4159586386,1677116.0,1709504.0,0.0,10,0,0.0,0,2024-01-18 02:32:29.000,0.0,0,0,224D0004152,5.1996549492,1551.2478027344,36449,1100,2,24D000415, , ,24D000415,Hoa Phat Dung Quat, ,B,TRUONG VAN SON,2,NGUYEN HUU DUC,1,Low Carbon,SAE1006,SAE1006,0,PR_82_LC,PR_82_LC,4,0,70000.0,0,0,2024-01-18 02:10:54.000,2024-01-18 02:58:00.000,2825,0,2024-01-17 00:00:00.000,1970-01-01 00:00:00.000,139835.800170898,115.0207519531,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1534,0,0
107566,1,3,3,3,0,107566103,0,1,0.0,1252.0,1252.0,75.033806313,0.0,0.0,31998.6168741355,23446.9909600924,563296.0,595685.0,0.0,10,0,0.0,0,2025-07-04 23:36:06.000,0.0,0,0,225A0041813,4.5999666266,1563.0546421436,54613,1100,2,25A004181, , ,25A004181,Hoa Phat Dung Quat, ,B,NGUYEN HAI DUONG,2,LE TIEN DUNG,1,Low Carbon,SAE1006,SAE1006,0,PR_76_LC_M,PR_76_LC_M,43,0,70000.0,0,0,2025-07-04 23:03:16.000,2025-07-04 23:56:41.000,3204,0,2025-07-04 00:00:00.000,1970-01-01 00:00:00.000,118310.470581055,4857.421875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
115480,1,5,5,5,0,115480105,0,1,0.0,1258.0,1258.0,71.1549202271,0.0,0.0,32497.5301323849,22689.7930622934,1437408.0,1470302.0,0.0,10,0,0.0,0,2025-11-30 20:33:45.000,0.0,0,0,225B0073305,4.4999719891,1549.7527796569,58637,1100,2,25B007330, , ,25B007330,Hoa Phat Dung Quat, ,B,NGUYEN HAI DUONG,1,LE TIEN DUNG,1,Low Carbon,SAE1006,SAE1006,0,PR_72LC,PR_72LC,19,0,70000.0,0,0,2025-11-30 19:40:40.000,2025-11-30 20:41:05.000,3624,0,2025-11-30 00:00:00.000,1970-01-01 00:00:00.000,128721.786499023,737.8463745117,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1534,0,0
52508,1,5,5,5,0,52508105,0,1,0.0,1514.0,1514.0,85.8813249836,0.0,0.0,24500.0987947046,24847.7488999969,848239.0,873038.0,0.0,10,0,0.0,0,2023-04-23 17:01:42.000,0.0,0,0,223D0019355,3.999749158,1557.3769183415,26863,1100,2,23D001935, , ,23D001935,Hoa Phat Dung Quat, ,C,NGUYEN TRONG SINH,1,LE TIEN DUNG,1,Low Carbon,SAE1006,SAE1006,0,PR_87LC,PR_87LC,29,0,70000.0,0,0,2023-04-23 16:18:30.000,2023-04-23 17:07:57.000,2967,0,2023-04-23 00:00:00.000,1970-01-01 00:00:00.000,127229.81262207,68.717956543,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
53070,1,4,1,1,0,53070104,0,1,0.0,1204.0,1204.0,80.963689521,0.0,0.0,30998.8144635448,23569.8308137916,2395.0,33772.0,0.0,20,0,0.0,0,2023-05-01 10:45:16.000,0.0,0,0,223A0013891,2.9798948194,1570.2365722656,27145,1100,2,23A001389, , ,23A001389,Hoa Phat Dung Quat, ,A,TRAN QUANG THINH,1,NGUYEN VAN DUY,1,Low Carbon,SAE1006,SAE1006,0,PR_82_LC,PR_82_LC,46,0,70000.0,0,0,2023-05-01 10:23:19.000,2023-05-01 11:28:55.000,3936,0,2023-05-01 00:00:00.000,1970-01-01 00:00:00.000,131045.639038086,267.6467895508,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
36023,1,1,1,1,0,36023101,0,1,0.0,1256.0,1256.0,71.1264890118,0.0,0.0,34498.1229006125,24038.7055851445,1294150.0,1329069.0,0.0,20,0,0.0,0,2022-04-12 05:39:10.000,0.0,0,0,122B0026151,4.9999840989,1562.004155373,18580,1100,1,22B002615, , ,22B002615,Hoa Phat Dung Quat, ,C,Nguyen Trong Sinh,2,Pham Van Duc,1,Low Carbon,SAE1006,SAE1006,0,PR_72LC,PR_72LC,43,0,70000.0,0,0,2022-04-12 05:18:43.000,2022-04-12 06:14:51.000,3367,0,2022-04-11 00:00:00.000,1970-01-01 00:00:00.000,125918.685913086,7.2326660156,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1532,0,0
5964,1,1,1,1,0,5964101,0,1,0.0,1216.0,1216.0,71.1020677134,0.0,0.0,31998.6168741355,21579.5117744037,2463412.0,2495801.0,0.0,10,0,0.0,0,2021-01-04 14:56:01.000,0.0,0,0,221C0000921,4.4000000954,1555.7797851563,3107,1100,2,21C000092, , ,21C000092,Hoa Phat Dung Quat, ,Crew B,Nguyen Van Thuong, ,Vu Duy Ninh,3,Medium Carbon,SS400,SS400,0,PR_70MC,PR_70MC,41,0,70000.0,0,0,2021-01-04 14:37:10.000,2021-01-04 15:36:22.000,3552,0,2021-01-04 00:00:00.000,1970-01-01 00:00:00.000,119234.664916992,28.938293457,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1520,0,0
90586,1,6,6,6,0,90586106,0,1,0.0,1262.0,1262.0,80.97169428,0.0,0.0,27498.5180794309,21917.7755007056,2029508.0,2057342.0,0.0,10,0,0.0,0,2024-10-18 08:56:20.000,0.0,0,0,224D0072726,4.8997990909,1544.0334196791,46067,1100,2,24D007272, , ,24D007272,Hoa Phat Dung Quat, ,A,NGUYEN VAN CHINH,1,HO KHAC HUY,1,Low Carbon,SAE1006,SAE1006,0,PR_82_LC_M,PR_82_LC_M,10,0,70000.0,0,0,2024-10-18 08:09:25.000,2024-10-18 08:56:21.000,2816,0,2024-10-18 00:00:00.000,1970-01-01 00:00:00.000,127365.097045898,5.0659179688,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1533,0,0
