Column,Non-Null,Mean,Median,IQR_outliers,ZSCORE_outliers,DOMAIN_outliers
thung_lf,4437,22.69,19.00,1,1.0,
lan_luyen_thu,4437,1.00,1.00,8,8.0,
nhiet_do_vao_tl,4440,1550.47,1549.00,25,3.0,3.0
C_truoc,4430,0.03,0.03,64,2.0,14.0
Si_truoc,4427,0.01,0.01,117,2.0,7.0
Mn_truoc,4430,0.15,0.12,96,5.0,10.0
S_truoc,4429,0.02,0.01,245,2.0,16.0
P_truoc,4429,0.01,0.01,44,1.0,5.0
khoi_luong_thung_thep,66,195.26,195.25,2,1.0,
FeSi,4,180.00,200.00,0,0.0,0.0
FeMn,4427,57.79,60.00,82,10.0,1.0
SiMn,3,483.33,150.00,0,,1.0
than,129,15.19,10.00,18,2.0,2.0
FeCr,0,N/A,N/A,0,,
FeV,1,6.00,6.00,0,,
Niken,0,N/A,N/A,0,,
FeP,0,N/A,N/A,0,,
Cu,0,N/A,N/A,0,,
khac,1975,5.39,6.00,8,8.0,
huynh_thach,137,0.00,0.00,0,0.0,0.0
nhom_thoi,4420,96.90,90.00,119,73.0,0.0
voi_song,4432,746.44,750.00,179,73.0,3.0
dolomite,0,N/A,N/A,0,,
quaczit,0,N/A,N/A,0,,
day_feca,0,N/A,N/A,0,,
day_casi,0,N/A,N/A,0,,
day_ca_dac,4430,341.28,340.00,64,49.0,0.0
xi_bao_on,13,3.00,3.00,0,0.0,
tieu_thu_dien,2210,4952.35,4802.00,43,9.0,9.0
C_sau,4349,0.05,0.03,57,1.0,23.0
Si_sau,4349,2.55,0.01,64,2.0,15.0
Mn_sau,4348,0.38,0.16,53,6.0,12.0
S_sau,4347,0.00,0.00,332,20.0,0.0
P_sau,4345,0.02,0.01,60,2.0,20.0
Al,4339,276.10,276.00,73,20.0,1.0
Canxi,4338,34.00,34.00,125,15.0,2.0
nhiet_do_lan_1,4357,2301.90,1585.00,25,1.0,19.0
nhiet_do_ra_thep,4348,2292.30,1580.00,188,1.0,16.0
nhiet_do_duc_yeu_cau,1,0.00,0.00,0,,1.0
nhiet_do_do_tren_duc,0,N/A,N/A,0,,0.0
thoi_gian_dinh_tre,235,59.58,25.00,24,8.0,11.0
source_year,4440,2025.00,2025.00,0,0.0,
source_month,4440,11.09,11.00,0,0.0,
source_lf,4440,3.54,5.00,0,0.0,
